,表达式,fitness,代数,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
60,"common_sub(common_tan(成交量), common_mul(成交额, 最低价))",0.03189415741633855,1,0.009046191913341894,0.03189415741633855,-0.009046191913341894,0.08474115827359092,0.025136913239180186,0.019437681485846438,0.027398926325355788
61,成交量,0.021349781416624254,1,0.02895111569445714,-0.021349781416624254,-0.02895111569445714,0.05069152524312565,0.09666247246140756,-0.009950040061329797,-0.044455587674968995
62,"common_sub(dynamic_ts_mean(common_inv(成交额),17), common_sub(0.120, 成交量))",0.023016463859026254,1,0.028951115694457158,-0.023016463859026254,-0.028951115694457158,0.0541897090474944,0.09666247246140766,-0.011835405944070457,-0.044455587674968995
63,"common_add(common_log(收盘价), common_add(成交量, 收盘价))",0.021349780661845074,1,0.028951108667255136,-0.021349780661845074,-0.028951108667255136,0.0506915233998841,0.09666245192871303,-0.009950040061329797,-0.044455587674968995
64,"common_max(common_add(最低价, 成交额), dynamic_ts_std(成交额,87))",0.029268793808712463,1,0.012799909807541074,-0.029268793808712463,-0.012799909807541074,0.08377469216324554,0.03996862399878218,0.01731312108524373,-0.031999765980054454
65,"common_mul(common_add(common_inv(最低价), 成交额), dynamic_ts_max(成交额,40))",0.04639856341530608,1,0.006625001559700536,-0.04639856341530608,-0.006625001559700536,0.14288481818440243,0.020209089126158236,-0.03720799904102467,-0.05452546892014436
66,"dynamic_ts_max(common_max(common_min(最低价, 收盘价), common_min(成交额, -0.793)),23)",0.020531795622941083,1,0.023575645351595228,0.020531795622941083,0.023575645351595228,0.05749417845805157,0.06486139580492611,-0.016399288863516968,-8.88887025737798e-05
67,成交额,0.03685381946717767,1,0.01361263435916147,-0.03685381946717767,-0.01361263435916147,0.0911085323779918,0.04151331739833738,-0.01214551758565678,-0.03324687162725465
68,"common_max(成交量, 收盘价)",0.021349781416624254,1,0.02895111569445714,-0.021349781416624254,-0.02895111569445714,0.05069152524312565,0.09666247246140756,-0.009950040061329797,-0.044455587674968995
69,"common_min(common_sqrt(common_sub(最低价, 开盘价)), common_add(开盘价, 收盘价))",0.0361651918442607,1,0.013852971117168643,-0.0361651918442607,0.013852971117168643,0.11717334112982801,0.03951734261515874,-0.0418534191779519,-0.023364625108781834
70,"common_max(common_min(最低价, 收盘价), common_add(成交额, -0.793))",0.036853819467177674,1,0.013612634359161473,-0.036853819467177674,-0.013612634359161473,0.09110853237799178,0.0415133173983374,-0.01214551758565678,-0.03324687162725465
71,"common_abs(common_mul(成交额, common_abs(dynamic_ts_max(最低价,26))))",0.022721085898574325,1,0.008386978933623874,-0.022721085898574325,0.008386978933623874,0.06438372348435709,0.023264516451974263,-0.024326692479626204,-0.026702486137565627
72,"common_mul(成交量, 收盘价)",0.03678513894320083,1,0.014574078660641199,-0.03678513894320083,-0.014574078660641199,0.09084725481057358,0.04443620714334604,-0.011861620142431225,-0.03420298379826037
73,"common_max(common_add(开盘价, 收盘价), common_mul(最高价, 成交量))",0.03702563573044161,1,0.01360131599402208,-0.03702563573044161,-0.01360131599402208,0.091322948981487,0.04139751061318424,-0.012275100125937816,-0.03379721029357772
74,"dynamic_ts_max(最低价,38)",0.02873555685295837,1,0.024005780220765775,0.02873555685295837,0.024005780220765775,0.07908053608303907,0.06613319874161751,-0.0039552356489157905,-0.018919060379981856
75,"common_add(common_add(common_mul(成交量, 收盘价), common_add(成交量, 收盘价)), common_add(成交量, 收盘价))",0.033646318758141794,1,0.01917801347051813,-0.033646318758141794,-0.01917801347051813,0.08142986246842178,0.05969221858812873,-0.012555633883341922,-0.04009809448450055
76,"dynamic_ts_std(成交额,87)",0.023509150379125626,1,0.020864190070762945,-0.023509150379125626,-0.020864190070762945,0.0767054960690971,0.0673672190781312,0.008425750858633636,-0.0260877081584374
77,"common_mul(common_inv(-0.729), common_max(收盘价, 成交额))",0.036853819467177674,1,0.013612634359161468,0.036853819467177674,0.013612634359161468,0.0911085323779918,0.04151331739833739,0.01214551758565678,0.03324687162725465
78,"common_max(common_max(common_sub(开盘价, 收盘价), common_add(成交额, 0.554)), 成交量)",0.036853819467177674,1,0.01361263435916147,-0.036853819467177674,-0.01361263435916147,0.09110853237799178,0.041513317398337385,-0.01214551758565678,-0.03324687162725465
79,"common_min(common_min(dynamic_ts_max(成交量,18), common_min(成交额, 最高价)), common_sub(common_tan(成交量), common_mul(成交额, 最低价)))",0.02415538639333273,1,0.008302544041765888,0.02415538639333273,-0.008302544041765888,0.06761419381532152,0.023043737378289148,0.028370539125200857,0.025800620705188924
80,"common_min(common_sqrt(0.627), common_mul(common_log(成交额), common_sub(-0.095, common_add(成交量, 最高价))))",0.0222412240992973,1,0.0285993395582255,0.0222412240992973,0.0285993395582255,0.052667122294764404,0.09517105613005981,0.010580022881985923,0.04240764142018413
81,"common_max(dynamic_ts_max(common_mul(成交量, 最高价),38), common_abs(成交额))",0.03829744104145764,1,0.0011359637003692503,-0.03829744104145764,-0.0011359637003692503,0.12802163081865345,0.003696335851844127,-0.014751039922080189,-0.034131633105559105
82,"dynamic_ts_max(common_add(收盘价, 成交量),38)",0.03506104145688011,1,0.00634719384588197,-0.03506104145688011,-0.00634719384588197,0.10614547796592101,0.022039682813729894,-0.01839428596882176,-0.03848487315306106
83,"common_max(common_add(开盘价, common_mul(最高价, 成交量)), common_sqrt(成交额))",0.03702563545007022,1,0.013601314505428575,-0.03702563545007022,-0.013601314505428575,0.09132294837868526,0.041397505961210744,-0.012275100125937816,-0.03379721029357772
84,"common_add(common_mul(common_inv(成交量), 成交量), common_add(成交量, 0.418))",0.021349781416624265,1,0.028951115694457158,-0.021349781416624265,-0.028951115694457158,0.05069152524312566,0.09666247246140758,-0.009950040061329797,-0.044455587674968995
85,"dynamic_ts_max(common_max(common_add(最低价, 成交量), common_add(成交额, -0.793)),23)",0.02713038384253027,1,0.008695855311257376,-0.02713038384253027,-0.008695855311257376,0.07862176632555982,0.027696696752529067,0.00554031766066896,-0.010520489186362574
86,"common_add(common_mul(成交量, 收盘价), common_max(收盘价, 成交额))",0.036817312331319775,1,0.014094160839134258,-0.036817312331319775,-0.014094160839134258,0.09097137034126845,0.04297756328605114,-0.012032376965366149,-0.03359428760137234
87,"common_abs(common_sub(收盘价, 成交额))",0.03685381976027319,1,0.01361263579524827,-0.03685381976027319,-0.01361263579524827,0.0911085330179318,0.04151332190276519,-0.01214551758565678,-0.03324687162725465
